SISTEMA,CIA,PRODUCTO,PRODUCTO_CIA,TARIFA,FEE,P1,P2,P3,P4,P5,P6,P1.,P2.,P3.,P4.,P5.,P6.
BALEARES,ACCIONA,FIJO,PONIENTE+,2.0TD,-,0.07716175342465753,0.008611315068493152,0,0,0,0,0.361512903,0.31043905299999996,0.27181876299999996,0,0,0
BALEARES,ACCIONA,FIJO,TRAMONTANA,2.0TD,-,0.07168219178082193,0.0031318630136986303,0,0,0,0,0.356437903,0.305364053,0.266743763,0,0,0
BALEARES,ACCIONA,FIJO,TRAMONTANA+,2.0TD,-,0.07442202739726027,0.0058715890410958906,0,0,0,0,0.356437903,0.305364053,0.266743763,0,0,0
BALEARES,ACCIONA,FIJO,CIERZO,3.0TD,-,0.056000273972602745,0.04692413698630137,0.03047468493150685,0.02804791780821918,0.023445424657534245,0.021316520547945205,0.310483403,0.308685878,0.307752259,0.29614216100000007,0.28241659100000005,0.26263897699999994
BALEARES,ACCIONA,FIJO,LEVANTE,3.0TD,-,0.039561917808219174,0.03048578082191781,0.014036328767123287,0.011609561643835618,0.007007068493150685,0.004878164383561643,0.321648403,0.31985087799999995,0.318917259,0.307307161,0.29358159100000003,0.273803977
BALEARES,ACCIONA,FIJO,LEVANTE+,3.0TD,-,0.05052082191780822,0.041444684931506846,0.02499523287671233,0.02256846575342466,0.017965972602739726,0.015837068493150683,0.321648403,0.31985087799999995,0.318917259,0.307307161,0.29358159100000003,0.273803977
BALEARES,ACCIONA,FIJO,PONIENTE,3.0TD,-,0.039561917808219174,0.03048578082191781,0.014036328767123287,0.011609561643835618,0.007007068493150685,0.004878164383561643,0.315558403,0.31376087799999997,0.312827259,0.301217161,0.28749159100000005,0.267713977
BALEARES,ACCIONA,FIJO,PONIENTE+,3.0TD,-,0.0450413698630137,0.03596523287671233,0.019515780821917808,0.017089013698630137,0.012486520547945204,0.010357616438356164,0.315558403,0.31376087799999997,0.312827259,0.301217161,0.28749159100000005,0.267713977
BALEARES,ACCIONA,FIJO,TRAMONTANA,3.0TD,-,0.039561917808219174,0.03048578082191781,0.014036328767123287,0.011609561643835618,0.007007068493150685,0.004878164383561643,0.310483403,0.308685878,0.307752259,0.29614216100000007,0.28241659100000005,0.26263897699999994
BALEARES,ACCIONA,FIJO,TRAMONTANA+,3.0TD,-,0.04230164383561644,0.033225506849315065,0.01677605479452055,0.014349287671232877,0.009746794520547946,0.007617890410958904,0.310483403,0.308685878,0.307752259,0.29614216100000007,0.28241659100000005,0.26263897699999994
BALEARES,ACCIONA,FIJO,CIERZO,6.1TD,-,0.07785509589041097,0.07224882191780821,0.04788531506849315,0.041247835616438355,0.021896219178082193,0.019685671232876713,0.278133091,0.27680945500000004,0.277166291,0.269534964,0.256618381,0.23909882400000002
BALEARES,ACCIONA,FIJO,LEVANTE,6.1TD,-,0.0614167397260274,0.05581046575342465,0.03144695890410959,0.024809479452054795,0.00545786301369863,0.003247315068493151,0.289298091,0.28797445499999996,0.288331291,0.280699964,0.26778338100000004,0.250263824
BALEARES,ACCIONA,FIJO,LEVANTE+,6.1TD,-,0.07237564383561644,0.0667693698630137,0.04240586301369863,0.035768383561643836,0.01641676712328767,0.014206219178082192,0.289298091,0.28797445499999996,0.288331291,0.280699964,0.26778338100000004,0.250263824
BALEARES,ACCIONA,FIJO,PONIENTE,6.1TD,-,0.0614167397260274,0.05581046575342465,0.03144695890410959,0.024809479452054795,0.00545786301369863,0.003247315068493151,0.283208091,0.281884455,0.282241291,0.274609964,0.261693381,0.24417382399999998
BALEARES,ACCIONA,FIJO,PONIENTE+,6.1TD,-,0.06689619178082191,0.06128991780821917,0.03692641095890411,0.030288931506849314,0.01093731506849315,0.008726767123287672,0.283208091,0.281884455,0.282241291,0.274609964,0.261693381,0.24417382399999998
BALEARES,ACCIONA,FIJO,TRAMONTANA,6.1TD,-,0.0614167397260274,0.05581046575342465,0.03144695890410959,0.024809479452054795,0.00545786301369863,0.003247315068493151,0.278133091,0.27680945500000004,0.277166291,0.269534964,0.256618381,0.23909882400000002
BALEARES,ACCIONA,FIJO,TRAMONTANA+,6.1TD,-,0.06415646575342467,0.058550191780821915,0.034186684931506846,0.027549205479452055,0.00819758904109589,0.005987041095890411,0.278133091,0.27680945500000004,0.277166291,0.269534964,0.256618381,0.23909882400000002
BALEARES,ACCIONA,FIJO,CIERZO,6.2TD,-,0.060269534246575336,0.05697786301369863,0.03705117808219178,0.035406849315068496,0.019981287671232875,0.01868317808219178,0.259569289,0.261636575,0.266162158,0.26196027299999997,0.25348893699999997,0.23331693800000003
BALEARES,ACCIONA,FIJO,LEVANTE,6.2TD,-,0.04383117808219178,0.040539506849315066,0.020612821917808218,0.01896849315068493,0.0035429315068493147,0.0022448219178082193,0.270734289,0.272801575,0.277327158,0.273125273,0.264653937,0.244481938
BALEARES,ACCIONA,FIJO,LEVANTE+,6.2TD,-,0.05479008219178082,0.05149841095890411,0.03157172602739726,0.029927397260273974,0.014501835616438356,0.013203726027397259,0.270734289,0.272801575,0.277327158,0.273125273,0.264653937,0.244481938
BALEARES,ACCIONA,FIJO,PONIENTE,6.2TD,-,0.04383117808219178,0.040539506849315066,0.020612821917808218,0.01896849315068493,0.0035429315068493147,0.0022448219178082193,0.26464428900000003,0.26671157500000003,0.27123715800000003,0.26703527299999996,0.258563937,0.238391938
BALEARES,ACCIONA,FIJO,PONIENTE+,6.2TD,-,0.04931063013698629,0.04601895890410959,0.026092273972602737,0.024447945205479455,0.009022383561643836,0.00772427397260274,0.26464428900000003,0.26671157500000003,0.27123715800000003,0.26703527299999996,0.258563937,0.238391938
BALEARES,ACCIONA,FIJO,TRAMONTANA,6.2TD,-,0.04383117808219178,0.040539506849315066,0.020612821917808218,0.01896849315068493,0.0035429315068493147,0.0022448219178082193,0.259569289,0.261636575,0.266162158,0.26196027299999997,0.25348893699999997,0.23331693800000003
BALEARES,ACCIONA,FIJO,TRAMONTANA+,6.2TD,-,0.046570904109589036,0.04327923287671233,0.023352547945205478,0.021708219178082192,0.0062826575342465754,0.00498454794520548,0.259569289,0.261636575,0.266162158,0.26196027299999997,0.25348893699999997,0.23331693800000003
PENINSULA,AEQ,FIJO,ARMONIA,2.0TD,3,0.071803,0.005528,0,0,0,0,0.265522,0.21194,0.175676,0,0,0
PENINSULA,AEQ,FIJO,EQUILIBRIO,2.0TD,3,0.081597,0.013542,0,0,0,0,0.265522,0.21194,0.175676,0,0,0
