0;1;2;3;4;5;6;7;8
181;REE_BalancingEnerBids;/archives/181/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Regulación Terciaria;Descargas;csv;2022-09-01,2023-02-20;2022-05-24,2023-01-10
101;REE_InterChangeAvailab_FRA;/archives/101/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo;Intercambios internacionales;Descargas;xml;2020-02-03,2022-10-25;2020-02-03,2022-10-25
102;REE_InterChangeAvailab_POR;/archives/102/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo;Intercambios internacionales;Descargas;xml;2022-08-26,2022-12-31;2022-08-26,2022-12-31
88;Resultado_Subasta_Anual_FRA;/archives/88/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Subastas explícitas;Descargas;xls;2019-12-10,2022-12-15;2020-01-01,2023-12-31
160;Resultado_Subasta_Anual_POR;/archives/160/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Subastas explícitas;Descargas;xls;2019-12-10,2022-12-15;2020-01-01,2023-12-31
87;Resultado_Subasta_Mensual_FRA;/archives/87/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Subastas explícitas;Descargas;xls;2019-12-19,2022-12-22;2020-01-01,2023-01-31
159;Resultado_Subasta_Mensual_POR;/archives/159/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Subastas explícitas;Descargas;xls;2019-12-19,2022-12-22;2020-01-01,2023-01-31
161;Resultado_Subasta_Trimestral_POR;/archives/161/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Subastas explícitas;Descargas;xls;2019-12-16,2022-12-16;2020-01-01,2023-03-31
23;totalasigdesv;/archives/23/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Energía Balance RR;Descargas;xml;2020-01-28,2022-05-24;2020-01-29,2022-05-24
21;totalasigsec;/archives/21/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Regulación Secundaria;Descargas;xml;2020-01-28,2023-01-09;2020-01-29,2023-01-10
24;totalasigter;/archives/24/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Regulación Terciaria;Descargas;xml;2020-01-29,2022-05-24;2020-01-29,2022-05-24
25;totalenersec;/archives/25/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Regulación Secundaria;Descargas;xml;2020-01-30,2023-02-07;2020-01-29,2023-01-10
26;totalliquicierre;/archives/26/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Regulación Secundaria;Descargas;xml;2020-01-30,2023-02-07;2020-01-29,2023-01-10
29;totalp48;/archives/29/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo;Programas;Descargas;xml;2020-01-29,2023-01-10;2020-01-29,2023-01-10
30;totalp48cierre;/archives/30/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo;Programas;Descargas;xml;2020-01-30,2023-01-12;2020-01-29,2023-01-10
18;totalpdbf;/archives/18/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo;Programas;Descargas;xml;2020-01-28,2023-01-09;2020-01-29,2023-01-10
20;totalpdvp;/archives/20/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Generación y consumo;Programas;Descargas;xml;2020-01-28,2023-01-09;2020-01-29,2023-01-10
27;totalrp48prec;/archives/27/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Restricciones;Descargas;xml;2020-01-29,2023-01-10;2020-01-29,2023-01-10
28;totalrp48preccierre;/archives/28/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Restricciones;Descargas;xml;2020-01-30,2023-01-12;2020-01-29,2023-01-10
19;totalrpdvpprec;/archives/19/download?date_type=datos&end_date=2023-01-10T23%3A59%3A59%2B00%3A00&locale=es&start_date=2020-01-29T00%3A00%3A00%2B00%3A00;Mercados y precios;Restricciones;Descargas;xml;2020-01-28,2023-01-09;2020-01-29,2023-01-10
