SISTEMA,CIA,PRODUCTO,PRODUCTO_CIA,TARIFA,FEE,P1,P2,P3,P4,P5,P6,P1.,P2.,P3.,P4.,P5.,P6.
CANARIAS,AEQ,FIJO,EQUILIBRIO,2.0TD,6,0.081597,0.013542,0.0,0.0,0.0,0.0,0.277798,0.22363,0.18732100000000002,0,0,0
CANARIAS,AEQ,FIJO,SIMETRIA,2.0TD,6,0.092145,0.022172,0.0,0.0,0.0,0.0,0.277798,0.22363,0.18732100000000002,0,0,0
CANARIAS,AEQ,FIJO,ARMONIA,2.0TD,8,0.071803,0.005528,0.0,0.0,0.0,0.0,0.279798,0.22563,0.18932100000000002,0,0,0
CANARIAS,AEQ,FIJO,EQUILIBRIO,2.0TD,8,0.081597,0.013542,0.0,0.0,0.0,0.0,0.279798,0.22563,0.18932100000000002,0,0,0
CANARIAS,AEQ,FIJO,SIMETRIA,2.0TD,8,0.092145,0.022172,0.0,0.0,0.0,0.0,0.279798,0.22563,0.18932100000000002,0,0,0
CANARIAS,AEQ,FIJO,ARMONIA,2.0TD,10,0.071803,0.005528,0.0,0.0,0.0,0.0,0.281798,0.22763,0.19132100000000002,0,0,0
CANARIAS,AEQ,FIJO,EQUILIBRIO,2.0TD,10,0.081597,0.013542,0.0,0.0,0.0,0.0,0.281798,0.22763,0.19132100000000002,0,0,0
CANARIAS,AEQ,FIJO,SIMETRIA,2.0TD,10,0.092145,0.022172,0.0,0.0,0.0,0.0,0.281798,0.22763,0.19132100000000002,0,0,0
CANARIAS,AEQ,FIJO,ARMONIA,2.0TD,15,0.071803,0.005528,0.0,0.0,0.0,0.0,0.286798,0.23263,0.19632100000000002,0,0,0
CANARIAS,AEQ,FIJO,EQUILIBRIO,2.0TD,15,0.081597,0.013542,0.0,0.0,0.0,0.0,0.286798,0.23263,0.19632100000000002,0,0,0
CANARIAS,AEQ,FIJO,SIMETRIA,2.0TD,15,0.092145,0.022172,0.0,0.0,0.0,0.0,0.286798,0.23263,0.19632100000000002,0,0,0
CANARIAS,AEQ,FIJO,ARMONIA,2.0TD,20,0.071803,0.005528,0.0,0.0,0.0,0.0,0.291798,0.23763,0.20132100000000003,0,0,0
CANARIAS,AEQ,FIJO,EQUILIBRIO,2.0TD,20,0.081597,0.013542,0.0,0.0,0.0,0.0,0.291798,0.23763,0.20132100000000003,0,0,0
CANARIAS,AEQ,FIJO,SIMETRIA,2.0TD,20,0.092145,0.022172,0.0,0.0,0.0,0.0,0.291798,0.23763,0.20132100000000003,0,0,0
CANARIAS,AEQ,FIJO,ARMONIA,2.0TD,25,0.071803,0.005528,0.0,0.0,0.0,0.0,0.296798,0.24263,0.20632100000000003,0,0,0
CANARIAS,AEQ,FIJO,EQUILIBRIO,2.0TD,25,0.081597,0.013542,0.0,0.0,0.0,0.0,0.296798,0.24263,0.20632100000000003,0,0,0
CANARIAS,AEQ,FIJO,SIMETRIA,2.0TD,25,0.092145,0.022172,0.0,0.0,0.0,0.0,0.296798,0.24263,0.20632100000000003,0,0,0
CANARIAS,AEQ,FIJO,ARMONIA,2.0TD,30,0.071803,0.005528,0.0,0.0,0.0,0.0,0.301798,0.24763000000000002,0.21132100000000004,0,0,0
CANARIAS,AEQ,FIJO,EQUILIBRIO,2.0TD,30,0.081597,0.013542,0.0,0.0,0.0,0.0,0.301798,0.24763000000000002,0.21132100000000004,0,0,0
CANARIAS,AEQ,FIJO,SIMETRIA,2.0TD,30,0.092145,0.022172,0.0,0.0,0.0,0.0,0.301798,0.24763000000000002,0.21132100000000004,0,0,0
BALEARES,AEQ,FIJO,ARMONIA,2.0TD,3,0.071803,0.005528,0.0,0.0,0.0,0.0,0.275408,0.220613,0.183749,0,0,0
BALEARES,AEQ,FIJO,EQUILIBRIO,2.0TD,3,0.081597,0.013542,0.0,0.0,0.0,0.0,0.275408,0.220613,0.183749,0,0,0
BALEARES,AEQ,FIJO,SIMETRIA,2.0TD,3,0.092145,0.022172,0.0,0.0,0.0,0.0,0.275408,0.220613,0.183749,0,0,0
BALEARES,AEQ,FIJO,ARMONIA,2.0TD,6,0.071803,0.005528,0.0,0.0,0.0,0.0,0.278408,0.223613,0.186749,0,0,0
BALEARES,AEQ,FIJO,EQUILIBRIO,2.0TD,6,0.081597,0.013542,0.0,0.0,0.0,0.0,0.278408,0.223613,0.186749,0,0,0
BALEARES,AEQ,FIJO,SIMETRIA,2.0TD,6,0.092145,0.022172,0.0,0.0,0.0,0.0,0.278408,0.223613,0.186749,0,0,0
BALEARES,AEQ,FIJO,ARMONIA,2.0TD,8,0.071803,0.005528,0.0,0.0,0.0,0.0,0.280408,0.225613,0.188749,0,0,0
